feature,dtype,n_missing,n_unique,mode_value,mode_share,top3_share,mean,std,min,p25,p50,p75,max,skew,kurtosis,n_effective_quantile_bins
f0,float32,0,2181959,12.616364479064941,0.2650681793860651,0.2650798392399435,19.620296478271484,5.3774638175964355,12.616364479064941,12.616364479064941,21.923413276672363,24.436458587646484,26.745254516601562,-0.2458285242319107,-1.6266579627990723,8
f1,float32,0,60,10.059654235839844,0.9876999271509498,0.9984301401643195,10.069977760314941,0.10475578159093857,10.059654235839844,10.059654235839844,10.059654235839844,10.059654235839844,16.344186782836914,13.997746467590332,267.5534973144531,1
f2,float32,0,808663,8.214383125305176,0.5224350610518533,0.5224579515625348,8.446582794189453,0.2993159890174866,8.214383125305176,8.214383125305176,8.214383125305176,8.723335266113281,9.051961898803711,0.8063849210739136,-1.0085831880569458,5
f3,float32,0,552,4.679881572723389,0.818621530585442,0.8817465488263176,4.1789231300354,1.3366450071334839,-8.39838695526123,4.679881572723389,4.679881572723389,4.679881572723389,4.679881572723389,-3.1864683628082275,10.514233589172363,2
f4,float32,0,260,10.280525207519531,0.9565869304340212,0.988500379696346,10.338837623596191,0.3433081805706024,10.280525207519531,10.280525207519531,10.280525207519531,10.280525207519531,21.12350845336914,8.88276195526123,104.13481140136719,1
f5,float32,0,132,4.115453243255615,0.9469624721522631,0.9905287650741166,4.028512477874756,0.4310974180698395,-9.01189136505127,4.115453243255615,4.115453243255615,4.115453243255615,4.115453243255615,-7.085842609405518,68.82039642333984,1
f6,float32,0,1645,0.29444271326065063,0.2650681793860651,0.5124101618988595,-4.155355453491211,4.577914237976074,-31.42978286743164,-6.699321269989014,-2.4111146926879883,0.29444271326065063,0.29444271326065063,-1.1358890533447266,0.7739578485488892,7
f7,float32,0,622143,4.83381462097168,0.9469624721522631,0.9469633305464137,5.1017656326293945,1.2052477598190308,4.83381462097168,4.83381462097168,4.83381462097168,4.83381462097168,11.998400688171387,4.524971961975098,19.223020553588867,1
f8,float32,0,3743,3.971858024597168,0.5224350610518533,0.6502951588286697,3.9335808753967285,0.056659597903490067,3.6351065635681152,3.9107918739318848,3.971858024597168,3.971858024597168,3.971858024597168,-1.6055645942687988,1.8537864685058594,5
f9,float32,0,1594,13.190055847167969,0.7949684797667915,0.8518019696139916,16.027639389038086,7.018974781036377,13.190055847167969,13.190055847167969,13.190055847167969,13.190055847167969,75.2950210571289,2.8227407932281494,7.726637840270996,3
f10,float32,0,483634,5.300374984741211,0.9565869304340212,0.9565892194850895,5.333396911621094,0.16822881996631622,5.300374984741211,5.300374984741211,5.300374984741211,5.300374984741211,6.473917007446289,5.276905059814453,27.15433692932129,1
f11,float32,0,136,-0.16867922246456146,0.9855227534537488,0.9969091372623751,-0.1709672510623932,0.02283276803791523,-1.3839406967163086,-0.16867922246456146,-0.16867922246456146,-0.16867922246456146,-0.16867922246456146,-14.808600425720215,294.5308532714844,1
