bin,n,n_treated,n_control,bin_low,bin_high
0,0,0.0,0.0,0.8500001287591226,0.8500001287591226
1,0,0.0,0.0,0.8500001287591226,0.8500001287591226
2,0,0.0,0.0,0.8500001287591226,0.8500001287591226
3,0,0.0,0.0,0.8500001287591226,0.8500001287591226
4,0,0.0,0.0,0.8500001287591226,0.8500001287591226
5,0,0.0,0.0,0.8500001287591226,0.8500001287591226
6,0,0.0,0.0,0.8500001287591226,0.8500001287591226
7,0,0.0,0.0,0.8500001287591226,0.8500001287591226
8,0,0.0,0.0,0.8500001287591226,0.8500001287591226
9,0,0.0,0.0,0.8500001287591226,0.8500001287591226
10,0,0.0,0.0,0.8500001287591226,0.8500001287591226
11,0,0.0,0.0,0.8500001287591226,0.8500001287591226
12,0,0.0,0.0,0.8500001287591226,0.8500001287591226
13,0,0.0,0.0,0.8500001287591226,0.8500001287591226
14,0,0.0,0.0,0.8500001287591226,0.8500001287591226
15,0,0.0,0.0,0.8500001287591226,0.8500001287591226
16,0,0.0,0.0,0.8500001287591226,0.8500001287591226
17,0,0.0,0.0,0.8500001287591226,0.8500001287591226
18,0,0.0,0.0,0.8500001287591226,0.8500001287591226
19,13979592,11882655.0,2096937.0,0.8500001287591226,0.8500001287591226
