pattern_key,n,n_treated,n_control,events_treated,events_control,baseline_rate,treated_rate,effect,standard_error,log_risk_ratio,se_log_risk_ratio,risk_ratio,effect_ci_low,effect_ci_high
0,22392.0,19433.0,2959.0,3968.0,489.0,0.16525853328827306,0.20418875109350074,0.03893021780522768,0.007414964487574907,0.21153370046539763,0.04367602356701447,1.2355716042651712,0.024397154462937366,0.05346328114751799
162,76994.0,66388.0,10606.0,7528.0,844.0,0.07957759758627192,0.11339398686509611,0.03381638927882419,0.0029017863210615983,0.3541357481257245,0.03476093085615146,1.4249486074540396,0.028128992598712474,0.0395037859589359
170,22265.0,18975.0,3290.0,1360.0,230.0,0.06990881458966565,0.07167325428194993,0.001764439692284278,0.004823890013417433,0.024925911302489168,0.06874931210242242,1.0252391590765881,-0.007690210999396329,0.011219090383964885
235,61625.0,52244.0,9381.0,2882.0,414.0,0.044131755676367124,0.05516422938519256,0.011032473708825437,0.0023440162897498404,0.22313511816269221,0.051348815006404924,1.2499894586050517,0.006438286201740546,0.015626661215910328
2050,23716.0,20840.0,2876.0,1438.0,90.0,0.03129346314325452,0.06900191938579654,0.03770845624254202,0.003690929717810478,0.790725090924361,0.10682149414904121,2.2049946683727875,0.0304743669261649,0.04494254555891915
2210,68111.0,59141.0,8970.0,2502.0,230.0,0.02564102564102564,0.04230567626519673,0.016664650624171093,0.001862876452061088,0.500727634863569,0.06796407050098047,1.6499213743426726,0.013013479870483603,0.020315821377858582
2218,48403.0,41179.0,7224.0,1043.0,120.0,0.016611295681063124,0.025328444109861823,0.008717148428798699,0.0016913796282636041,0.42184511066145103,0.09554786453729443,1.5247723354136817,0.00540210527321729,0.012032191584380108
2283,62061.0,52667.0,9394.0,763.0,123.0,0.013093463913136044,0.014487250080695692,0.0013937861675596477,0.001283218267747022,0.10115579006409053,0.09651559015312065,1.106449002098011,-0.0011212754215283918,0.003908847756647687
2722,31616.0,27075.0,4541.0,326.0,34.0,0.007487337590839022,0.012040627885503231,0.0045532902946642095,0.0014407789581455674,0.475073315979306,0.17950515066592715,1.6081320949432405,0.0017294154270157554,0.007377165162312663
2730,58284.0,49644.0,8640.0,275.0,43.0,0.004976851851851852,0.005539440818628636,0.0005625889667767838,0.0008271172296336496,0.1070960275216984,0.16357351077712007,1.1130411319291027,-0.0010585310142977148,0.002183708947851282
