column,full_mean,sample_mean,difference,smd
f0,19.620296478271484,19.620092391967773,-0.0002040863037109375,-3.7948779787132174e-05
f1,10.069977760314941,10.069993019104004,1.52587890625e-05,0.00014562496182499933
f2,8.446582794189453,8.446284294128418,-0.00029850006103515625,-0.000997309077693225
f3,4.1789231300354,4.181073188781738,0.0021500587463378906,0.0016094692044451547
f4,10.338837623596191,10.33833122253418,-0.0005064010620117188,-0.0014792004413226552
f5,4.028512477874756,4.028366565704346,-0.00014591217041015625,-0.0003380741512067024
f6,-4.155355453491211,-4.150028705596924,0.005326747894287109,0.0011636618336835465
f7,5.1017656326293945,5.101637363433838,-0.00012826919555664062,-0.00010644745087044534
f8,3.9335808753967285,3.933694839477539,0.00011396408081054688,0.002012789424012725
f9,16.027639389038086,16.018991470336914,-0.008647918701171875,-0.0012327574710091957
f10,5.333396911621094,5.3331146240234375,-0.00028228759765625,-0.0016816342530717521
f11,-0.1709672510623932,-0.17094942927360535,1.7821788787841797e-05,0.0007828439358722524
treatment,0.8500001287591226,0.85,-1.2875912258625277e-07,-3.6059759829507585e-07
conversion,0.002916680257907384,0.0029171077856304903,4.275277231064259e-07,7.927534024044793e-06
visit,0.046992000911042324,0.04707860024607285,8.659933503052386e-05,0.0004090383562767507
exposure,0.03063122299992732,0.030604595267389626,-2.6627732537694987e-05,-0.00015456058875275622
